username,value
ramachandra rao musunuru,107.8608
SKS Media Singapore,107.8608
Sash Warna,107.8608
M Bueno,107.8608
Deborah Jones,107.8608
Melviniii,107.8608
SKS_MediaUAE,107.8608
Louis Truong #TraxionICO,80.8956
Кирилл Протогенов,80.8956
mrbate,80.8956
♣PrinceG♣,80.8956
kanaiya thacker,80.8956
JAMES BURNS,80.8956
Luis R Rojas,80.8956
Tarık Sezan,80.8956
Aldo The Apache,80.8956
Vivek Bharati,80.8956
SUDDENDEATH66,76.4014
Deftrax,75.95198
Crypto_collins,74.1584490297
CamTheMan,74.1543
wisdom333,74.1543
mark robert,71.9072
Ajayi Adedoyin,71.9072
Angelica Fink,68.3760428571
Tyler. 🇨🇦,67.413
Rowell Cast Abad,67.413
fairlytaxed,67.413
frank ikeme,67.413
Galois Flores,67.413
mafia,67.413
Akorede Shehu nurain,67.413
mehmet bostanoğlu,67.413
Islam hunter,67.413
Habib Ahsani,67.413
Thomas Ripple,67.413
Kuzaima,67.413
JAFSTAR,67.413
Mộc Lâm,67.413
salah,67.413
cholebatgirl,67.413
Gloria Uche,67.413
Chris ✖️,67.413
Abdulkerim durdu,67.413
bitko,67.413
Ismail Guler,67.413
Feldowsen,67.413
Amblessed Abu,67.413
Jolo,67.413
agoees,67.413
Augustine Ogbonnaya,67.413
iad_xo,67.413
Thagodz,67.413
za3boulia,67.413
samuel Oluwafemi,67.413
Matheus Silva,67.413
rusmuhammad01,67.413
AntonioGomez,67.413
ICO Cryptoking,67.413
JESAMINE SORIAO,67.413
@hero0ne,67.413
Hooss Kehyou,67.413
amandajhon56,67.413
ahmadharis,67.413
Sulaiman  Sikiru Wale,67.413
Nofa sutanto,67.413
Rexford,67.413
Syahazek,67.413
Rina Sumaria,58.4246
steely fluff,53.9304
Juan⚡️Galt,53.9304
Here to Listen,53.9304
BlackjinTrade,53.9304
Szalloony,53.9304
BrandGodot,53.9304
Crypto Analyst,53.9304
GK,50.55975
Saeed Valadbaygi,49.4362
X_Flips,47.1891
George Mac,44.942
ico_kingyokingyo,43.8205189783
jackbits,42.8991818182
CryptoPiper,42.6365333333
Altcoinjules,42.0956733333
Electric Buddha,40.4479840088
sdshack,40.4478
sha-265 ⚡️‏,40.4478
Chhakho,40.4478
Erf ling,40.4478
Vikram Ramakrishnan,40.4478
Chinedu Okpala,40.4478
Tatiana Ovchinnikova,40.4478
TheLaureate,40.4478
Christina Storey,40.4478
SylTi ⚡,40.4478
LitecoinMonkey,40.4478
Zeeshan Shah,40.4478
crypto. plankton,40.4478
Crypto Sport,40.4478
Nils Larsson NLA,38.5217142857
Lady of the Crypt,38.5217142857
Ben Song,38.5217142857
Budhi Kesuma,36.897
Airdrop terkini,36.1578818182
Jamil Ahmed,34.98
crypto lovers,33.7065
#Airdropinfo,33.7065
Fatema Akter Shilpy,33.7065
Brian Su,33.7065
Martin Bridgewater,33.7065
Free Airdrop+Bounty,33.7065
RichL Forex,33.7065
Crypto Early Bird,33.7065
Gabriel Kurman,33.7065
T,33.7065
K,33.7065
Luis Miguel Laredo,33.7065
Александр Хрипуненко,33.7065
Greg Schatz,33.0936545455
Darren Culbreath,31.4594
🏴󠁧󠁢󠁥󠁮󠁧󠁿Crypto Legend🏴󠁧󠁢󠁥󠁮󠁧󠁿,31.4594
TopTickers,30.33585
Vaisakh Ks,29.5177276834
jutofuko,29.5176
Emeziem Miracle,29.5176
nguyễn tuấn phương #beattoken,28.5994545455
CMark,28.08875
Follow 4 Follow,27.984
KOᑌᖇT  ✌,27.984
f0under,26.9652
Omar⚡,26.9652
Lucas,26.9652
Oih_Ana,26.9652
Joël de Tombe,26.9652
Joshua Manley,26.9652
Nkgoge Lerama! ™,26.9652
CptnBeard,26.9652
Jéssica Palacios,26.9652
Joda Walter,26.9652
Ya Boi,26.9652
Murtaza Jesawadawala,26.9652
Mining,26.9652
Joseph Vitola,26.9652
Bitcoin Chaser,26.9652
LucisDollar,26.9652
yorck leschber,26.9652
Hamaan13,26.9652
Chris S. [1X],26.9652
Micro concept,25.84165
Bitcoin McBitface⚡️,25.279875
Jeff,24.486
Binmap,24.486
Cristian Carvajal,23.59455
BlockchainCompliance,22.471
Cryptoknocks.com,22.471
Zachary Maley,22.2012
Phil Michaels Crypto News,22.2012
Cash Clamber,21.909225
JEHB40,21.52325
sajith,21.4523162336
Cryptologist👩‍💻👸🤷‍♀️,20.988
meteor78,20.988
Onwusor Kingsley,20.988
SuperBeast,20.988
Yummy_Tomato,20.988
Sergey Permyakov,20.988
chance,20.988
Baba Azam,20.988
kira,20.988
Hammer Concepts,20.2274349257
akufure,20.2239
Genesis Coin,20.2239
Ray Youssef,19.7642659091
TheMarketQuote,19.6784
eti-ini umoh,19.2608571429
Shaishav,18.4485
