,username,value
2729,ramachandra rao musunuru,107.86080000000001
1769,SKS Media Singapore,107.86080000000001
226,Sash Warna,107.86080000000001
4003,M Bueno,107.86080000000001
3034,Deborah Jones,107.86080000000001
3204,Melviniii,107.86080000000001
1762,SKS_MediaUAE,107.86080000000001
82,Louis Truong #TraxionICO,80.89560000000003
2495,Кирилл Протогенов,80.89560000000003
710,mrbate,80.89560000000003
2725,♣PrinceG♣,80.89560000000003
3763,kanaiya thacker,80.89560000000002
1338,JAMES BURNS,80.89560000000002
3336,Luis R Rojas,80.89560000000002
3383,Tarık Sezan,80.89560000000002
3752,Aldo The Apache,80.89560000000002
1365,Vivek Bharati,80.89560000000002
3465,SUDDENDEATH66,76.40140000000002
3374,Deftrax,75.95198
3512,Crypto_collins,74.15844902973816
2663,CamTheMan,74.15430000000002
2077,wisdom333,74.15430000000002
3742,mark robert,71.90720000000002
308,Ajayi Adedoyin,71.90720000000002
2460,Angelica Fink,68.37604285714286
1269,Tyler. 🇨🇦,67.41300000000001
1571,Rowell Cast Abad,67.41300000000001
1233,fairlytaxed,67.41300000000001
2449,frank ikeme,67.41300000000001
2443,Galois Flores,67.41300000000001
1658,mafia,67.41300000000001
3888,Akorede Shehu nurain,67.41300000000001
3867,mehmet bostanoğlu,67.41300000000001
1817,Islam hunter,67.41300000000001
2378,Habib Ahsani,67.41300000000001
3060,Thomas Ripple,67.41300000000001
2366,Kuzaima,67.41300000000001
1832,JAFSTAR,67.41300000000001
245,Mộc Lâm,67.41300000000001
347,salah,67.41300000000001
342,cholebatgirl,67.41300000000001
2260,Gloria Uche,67.41300000000001
3076,Chris ✖️,67.41300000000001
281,Abdulkerim durdu,67.41300000000001
330,bitko,67.41300000000001
3049,Ismail Guler,67.41300000000001
595,Feldowsen,67.41300000000001
4137,Amblessed Abu,67.41300000000001
98,Jolo,67.41300000000001
1717,agoees,67.41300000000001
1946,Augustine Ogbonnaya,67.41300000000001
2312,iad_xo,67.41300000000001
2736,Thagodz,67.41300000000001
2491,za3boulia,67.41300000000001
1491,samuel Oluwafemi,67.41300000000001
3379,Matheus Silva,67.41300000000001
1164,rusmuhammad01,67.41300000000001
1470,AntonioGomez,67.41300000000001
3765,ICO Cryptoking,67.41300000000001
1496,JESAMINE SORIAO,67.41300000000001
