created_at,name,text,followers_count,verified,retweet_count,favorite_count,,,,,
Sat,CRYPTO‏ ⚡️฿ISCOTTI II,RT @ArminVanBitcoin: I absolutely love this! 😍 A game where anyone can participate and paint on a million pixel canvas for 1 satoshi per pi…,87,False,20,0,,,,,
Fri,Aam Satrio,"RT @coinnup: The MVP (Minimum Viable Product) of the Paymaz Exchange is being created by the team at Coinnup.
#cryptocurrency #bitcoin #blo…",2461,False,45,0,,,,,
Thu,Дзюба Ярослав,RT @tvtwocom: Join our community on Telegram 🚀 https://t.co/GNzDB29Lpn // #tvrevolution #crypto #cryptocurrencies #bitcoin #ethereum #block…,164967,False,50,0,,,,,
Wed,RACKY CHUA,RT @NassimBahloul: A New Innovative Protocol Is Born @EXRNToken #blockchain #swap #token #transactions #payment #cryptocurrencies #ethereum…,11,False,12,0,,,,,
Tue,Marraud des Grottes,"RT @GreshamINTL: While there are many potential benefits to cryptocurrency, one has to acknowledge this new form of money has gotten a bad…",2114,False,1,0,,,,,
Mon,Ora Mounce,"RT @Fullbeerbottle: So, what’s going to be the catalyst for massive amounts of volume and an influx of new people this time around? A #Bitc…",71,False,2,0,,,,,
Sun,Crypto Airdrops,"RT @CoinAirdropsAll: #Bitcoin #Satoshi #Earn_Money #cryptocurrency #blockchain #Airdrop
New Airdrop #Aelf 📢

Aelf giving away 1000 coins ev…",188,False,10,0,,,,,
Sat,Grumpy McGrumpface,RT @KryptykHex: #Bitcoin is by far the most energy efficient monetary system we've ever designed. https://t.co/XRg0pwF96h,503,False,687,0,,,,,
Fri,Raphsmile,"RT @0xgang: Get More Tokens: Send a minimum of 0.001ETH to 0xd506e5e57e22c695bf28c96e73c296051177a678, and get 444,444 tokens.

The more yo…",0,False,3186,0,,,,,
Thu,Aam Satrio,"RT @coinnup: @coinnup has adhered to all the regulations governing a #Blockchain business as laid down by Estonian authorities.
#cryptocurr…",2461,False,24,0,,,,,
Wed,Bitcoin Ticker Hourly,#Bitcoin Price 7627.01 USD via Chain,60,False,0,0,,,,,
Tue,Kpsserkan2561,You don’t have to worry about unbalanced teams anymore. Genbby automatically pairs you with other players based on… https://t.co/uNeE1O54U1,3408,False,0,0,,,,,
Mon,Cheffy,"$DEA #DEGASCOIN 
DEA coin Hardfork Swap alert bitcointalk topic=4444216
Will now get a New Blockchain , New Website… https://t.co/cIsJInloEA",1204,False,0,0,,,,,
Sun,Aam Satrio,"RT @coinnup: @coinnup presents a unified interface while connecting the major components of Digital Asset Management. 
#cryptocurrency #bit…",2461,False,36,0,,,,,
Sat,bitsmart.io⚡BTCbot,BTC $7642.75 Down -$24.25 -0.32% in the last hour #bitcoin #bitsmart,138,False,0,0,,,,,
Fri,Bitcoin average,Current price of #Bitcoin is $7627.01,95,False,0,0,,,,,
Thu,CoinNuts,"News from:CCN | Vietnam Investigates Alleged $660 Million ICO Fraud of Pincoin, Ifan - https://t.co/LX1fhk6zQW -… https://t.co/z6TcMEF6r2",1162,False,0,0,,,,,
Wed,BTCpx,Current price of Bitcoin is $7627.01 #bitcoin #btc $btc https://t.co/EzpRj0ahIn,3522,False,0,0,,,,,
Tue,CRYPTON NEWS,The European Union's plan to impose tariffs on roughly $3.3 billion worth of American goods will go into effect in… https://t.co/FjKVKkLqzK,1624,False,0,0,,,,,
Mon,Charlotte Sims,"RT @0xgang: 444Million Token Airdrop Starts!!!

Join Now: https://t.co/H0TtkEtLr7

#Airdrop #freetoken #freecoin #erc20 #ethereum #eth #eth…",302,False,3074,0,,,,,
Sun,jamie worsfold,"RT @kilrau: We did it! 🙌 #2 Atomic Swap on Lightning between BTC &amp; LTC!

Kudos to @bitconner from @lightning pioneering this. Who is #3? @S…",72,False,482,0,,,,,
Sat,dilip kumar,"RT @ZupplyICO: It's time to EXCHANGE your $ZUP 

https://t.co/Hriwlqi9If

#Traders #Crypto #cryptocurrency #cryptocurrencynews #cryptocurre…",26,False,13,0,,,,,
Fri,Garry Truman,"RT @digitalticks: Connect now to Official Telegram Channel for Live updates about Digital Ticks Exchange
#digitalticksexchange #telegram #b…",4272,False,239,0,,,,,
Thu,Nahida akter,"#Konios #ICO #Bitcoin
To all our NETHERLAND FRIENDS
We will come to amsterdam for the Blockchain.",9963,False,0,0,,,,,
Wed,Fabien Vernagallo,"RT @Blockchainlife: Billionaire Mike Novogratz, someone with a large network in the financial market: Institutional money is getting ready…",189,False,294,0,,,,,
Tue,Aam Satrio,"RT @coinnup: @coinnup Smart Link works as a Bridge between a user’s Bank Account, Credit card, Debit card, and the Coinnup platform.
#crypt…",2461,False,6,0,,,,,
Mon,Invest Altcoins ❤⚡️ 🇬🇧,"RT @Fullbeerbottle: So, what’s going to be the catalyst for massive amounts of volume and an influx of new people this time around? A #Bitc…",3883,False,2,0,,,,,
Sun,Anntoneith Breach,"RT @BTCTN: Putin: Cryptocurrency Has Its Place, No State Can Have Own Crypto https://t.co/BoubhBEsXC #Bitcoin https://t.co/E0qTNSX0oL",5,False,88,0,,,,,
Sat,Marraud des Grottes,"RT @GreshamINTL: Months after being identified as a hotspot for crypto miners, the Canadian province of Quebec suspended approvals for any…",2114,False,1,0,,,,,
Fri,Дмитрий,"RT @CrowdIf: Hey CrowdIF-ires! Your favorite project has been covered by renowned Russian Crypto YouTube channel.
 Check out the coverage h…",24,False,15,0,,,,,
Thu,Agis Tajla Fauzi,RT @gamelootnetwork: Game Loot Network™ will champion developers and gamers by creating a virtual platform that rewards players with real-v…,2050,False,13,0,,,,,
Wed,Дмитрий,"RT @CrowdIf: CrowdIF ICO starts on  25th June  - 10th July, 2018 
Get an instant US$10 bonus on joining the white list today!
Flat 5% ICO r…",24,False,1,0,,,,,
Tue,Bright Jacobs,"RT @0xgang: 444Million Token Airdrop Starts!!!

Join Now: https://t.co/H0TtkEtLr7

#Airdrop #freetoken #freecoin #erc20 #ethereum #eth #eth…",187,False,3074,0,,,,,
Mon,Emptybeerbottle,"So, what’s going to be the catalyst for massive amounts of volume and an influx of new people this time around? A… https://t.co/8meXlH7NuM",27909,False,2,1,,,,,
Sun,Jerry Carlson,"RT @0xgang: Get More Tokens: Send a minimum of 0.001ETH to 0xd506e5e57e22c695bf28c96e73c296051177a678, and get 444,444 tokens.

The more yo…",398,False,3186,0,,,,,
Sat,sakil,"RT @Blockchainlife: #Bitcoin average DAILY value change:
2010: +0.82%
2011: +0.76%
2012: +0.26%
2013: +1.11%
2014: -0.25%
2015: +0.09%
2016…",0,False,103,0,,,,,
Fri,Charlotte Sims,"RT @0xgang: Get More Tokens: Send a minimum of 0.001ETH to 0xd506e5e57e22c695bf28c96e73c296051177a678, and get 444,444 tokens.

The more yo…",302,False,3186,0,,,,,
Thu,Nguyễn Thế Hải,"Opiria allows them to at least be directly paid for this information,  and completely protects their privacy becaus… https://t.co/pSWis6vLDq",4080,False,0,0,,,,,
Wed,Vergenful,RT @TV_crypto: 😱😱😱 Whoop Whoop. I can’t wait to get this launched!! $linda #linda to pluto. 🚀🚀🚀 You should add more coins before you regret…,17,False,13,0,,,,,
Tue,Bull,RT @vxschmid: #Bitcoin costs part I: Bitcoin beats every alternative in dollar costs even though they have risen to $5B 2017 est. Caveats:…,334,False,62,0,,,,,
Mon,Aam Satrio,"RT @decoin_io: Our airdrop program is still live!
A total of  55,000 Dtep Coin with a value of $50,000 are up for grabs!

Visit our Airdrop…",2461,False,121,0,,,,,
Sun,Горбунова Светлана,"RT @freecryptobot: FREE BITTREX TRADING BOT / CRYPTO CURRENCIES TRADING SIGNALS 24/7 live
https://t.co/CV3V22ttNj via @YouTube
#NEWS #BTC #…",3,False,375,0,,,,,
Sat,CryptoNews,China as a Prime Example of “Blockchain Before Bitcoin” Policy https://t.co/6SdAGM6BvA #bitcoin #crypto https://t.co/GwncM4jA7z,10230,False,0,0,,,,,
Fri,Crowd IF,"CrowdIF ICO starts on  25th June  - 10th July, 2018 
Get an instant US$10 bonus on joining the white list today!
Fl… https://t.co/QEVEPKDygX",259,False,1,1,,,,,
Thu,analyst5,"#crypto price changes last hour

🚀
$CLAM +7.14%
$GLD +4.95%
$WAVES +4.58%

🌧️
$RBY -5.86%
$XMG -4.83%
$RADS -4.42%

#bitcoin #cryptocurrency",5959,False,0,0,,,,,
Wed,Garry Truman,"RT @coinnup: @coinnup presents a unified interface while connecting the major components of Digital Asset Management. 
#cryptocurrency #bit…",4272,False,36,0,,,,,
Tue,Crypto Airdrops,"RT @CoinAirdropsAll: #Bitcoin #cryptocurrency #Airdrop
New Airdrop #Aicrypto 📢

Aicrypto is airdropping 2000 #AIC Tokens to Community Membe…",188,False,12,0,,,,,
Mon,Airdrop Expressway 🛩,"The EOS Blockchain Isn't Live Yet, But It's Getting Close #bitcoin https://t.co/nJMm98qdjH",196,False,0,0,,,,,
Sun,WallSt.ForSale,"RT @David91Fry: Meet new technologies of advertisements from the platform , which offers advertising to an interested and educated audience…",1988,False,1,0,,,,,
Sat,Todd Phillips Exec. MBA,RT @SamitRng: What are some advantages of #Blockchain?   https://t.co/szqpqm2XIo   [@jblefevre60 @ar_reverie] MT  #blockchains @Fisher85M #…,814,False,13,0,,,,,
Fri,hate love,"RT @coinnup: @coinnup has adhered to all the regulations governing a #Blockchain business as laid down by Estonian authorities.
#cryptocurr…",3252,False,24,0,,,,,
Thu,CryptosBatman,"RT @Nebula_Exchange: Now people in Japan get more out of #bitcoin than just profits, a Japanese company called Abic is giving out loans aga…",1903,False,1,0,,,,,
Wed,Matt Cooksey,"RT @decoin_io: Good news everyone! Due to community request and huge demand, we will be extending our pre sale stage for 22 hours. Get that…",5038,False,400,0,,,,,
Tue,AirDrop Token Coin Free,"RT @capital_company: EXCLUSIVE AIRDROP!
We decided to give 100,000 CALL &amp; 20,000,000 CALLG to our supporters. If you want to join, follow t…",2420,False,448,0,,,,,
Mon,Wilko !,"RT @SuretyToken: The surety airdrop is here receive up to $400 in surety tokens. 
Sign up and complete the airdrop procedure to receive you…",641,False,642,0,,,,,
Sun,Elixium Crypto,"Are you Bullish or Bearish on the #SP500?

1 - 20x Leverage ✅

▶️ https://t.co/yfuS25BFRM ◀️

Register Now &amp; go Lon… https://t.co/O6HbpPcX3z",55264,False,0,0,,,,,
Sat,Bitcoin’de Şuan,Bitcoin 7627.01 $ #bitcoin,337,False,0,0,,,,,
Fri,™NDOOuLL,"RT @OnasanderICO: Onasander Airdrop! $3,000 give away every week!
First Investment Bank running on Blockchain.

Go to Airdrop Page : https:…",1012,False,8390,0,,,,,
Thu,Chris Svorcik,Bitcoin Bearish Triangle Could Aim and Reverse at $5000 https://t.co/LDUhwa3kQO #Cryptos #Cryptocurrency #Gold… https://t.co/ofzuYvOZqf,5697,False,0,0,,,,,
Wed,Earn Money Online Opportunity,"RT @RandolphMlny: #Bitcoin #crypto #blockchain #Airdrop

Earn Passive Income in #Ether from Ether Estate's Collectibles #Game! 📢

#EtherEst…",605,False,11,0,,,,,
Tue,Khanya Tamse,"RT @mphodagada: Cryptocurrency Conference 10 am today at the Sandton Hilton Hotel.

Address: 138 Rivonia Rd, Sandown, Sandton, 2196

#MrBit…",16,False,4,0,,,,,
Mon,Ahsad Ahmed,"RT @MPCXPlatform: Today we decided to rest from the metropolitan fuss, and met with the investor in the beautiful city of Windsor🇬🇧🇬🇧🇬🇧! Ch…",6375,False,368,0,,,,,
Sun,Bitx,"Current #crypto prices on #Bittrex:

#Bitcoin at $7,615, down -0.1%.
#Ethereum at $602, down -0.4%.
#Ripple at $0.6… https://t.co/LDYti7uP22",200,False,0,0,,,,,
Sat,(Ptaah♭) Gohan #TouchePasAMonMcDo,RT @KryptykHex: #Bitcoin is by far the most energy efficient monetary system we've ever designed. https://t.co/XRg0pwF96h,1064,False,687,0,,,,,
Fri,Mário Cesar dos Santos,RT @BTCTN: Flash Transfer: Bitcoin Hodlers Dumped $30 Billion Since December https://t.co/mH45c5oQmn #Bitcoin https://t.co/0vFu9guFpC,38,False,36,0,,,,,
Thu,Sunnyvale S.r.l.,Current price of #Bitcoin is $7627.01,804,False,0,0,,,,,
Wed,FeesBitcoin,"#Bitcoin $7,626.17 v #BitcoinCash $1,118.53 (BTC/BCH 6.8), Avg Transaction fee for #Bitcoin ~$0.68 v #BitcoinCash ~… https://t.co/XDGsvX7BHr",82,False,0,0,,,,,
Tue,David Fry,BITEX Services will be operated by local partners that license the Bitex platform as a franchise and who will regis… https://t.co/TdluKWQOs6,4367,False,0,1,,,,,
Mon,🌎 semanticearth.com,"RT @Blockchainlife: Three apartments in the residential complex ""Dukley Gardens"" in Montenegro were sold for 420 #Bitcoins to a 25-year-old…",21222,False,128,0,,,,,
Sun,Mamamoo Jjang 💛💛💛💛,"RT @SuretyToken: The surety airdrop is here receive up to $400 in surety tokens. 
Sign up and complete the airdrop procedure to receive you…",796,False,642,0,,,,,
Sat,David Fry,"Meet new technologies of advertisements from the platform , which offers advertising to an interested and educated… https://t.co/7AycCHNmZV",4367,False,1,1,,,,,
Fri,Nahida akter,"#Konios #ico #Bitcoin
We wrote an article to give you more insight about his background and function within the Konios Project",9963,False,0,0,,,,,
Thu,さと,"RT @TokenGit: I will choose 20 random followers to win 0.2 ETH

Please:

1. FOLLOW
2. LIKE AND RETWEET 
3. Comment your ETH address

#airdr…",255,False,44,0,,,,,
Wed,Global SEO Links,"I have read your technical documentation. A great project, I really believe in the progress of your project  Websit… https://t.co/3gIrPi5aJa",11506,False,0,0,,,,,
Tue,Crypto Airdrops,"RT @CoinsAirdrops: #Bitcoin #Satoshi #crypto #blockchain #Airdrop
New Airdrop #HybridBlock 📢

Hybrid Block Airdropping 10,000,000 #Hybrid T…",423,False,3,0,,,,,
Mon,BTC Pulse,"BTC hourly update
$7652.32    |    -0.0027%📉
$BTC #BTCUSD #Bitcoin",180,False,0,0,,,,,
Sun,Kickassmagoo,RT @ArminVanBitcoin: The game of Monopoly will teach you more about economics and finance than any College or University. 💵🎓👇 #bitcoin #hod…,249,False,149,0,,,,,
